"","name","average_min","average_mean","average_max","average_precipitation"
"1","Abia",22.0166666666667,26.5125,31.06,187.645
"2","Abuja",21.8191666666667,27.2325,32.6958333333333,99.485
"3","Adamawa",20.5516666666667,27.0566666666667,33.6125,83.9191666666667
"4","Akwa Ibom",22.0558333333333,26.3425,30.6825,207.375
"5","Anambra",22.3358333333333,27.0158333333333,31.7541666666667,160.788333333333
"6","Bauchi",20.2383333333333,26.7166666666667,33.2475,79.2483333333333
"7","Bayelsa",22.3566666666667,26.3383333333333,30.3708333333333,212.6275
"8","Benue",21.8891666666667,27.1783333333333,32.5241666666667,127.670833333333
"9","Borno",20.8841666666667,28.2758333333333,35.7175,53.0966666666667
"10","Cross River",21.685,26.3816666666667,31.1258333333333,197.125833333333
"11","Delta",22.9033333333333,27.1316666666667,31.4108333333333,197.190833333333
"12","Ebonyi",22.1425,27.0183333333333,31.9433333333333,165.730833333333
"13","Edo",22.6591666666667,27.1625,31.7183333333333,156.451666666667
"14","Ekiti",21.2625,26.1275,31.0475,121.4175
"15","Enugu",21.9566666666667,26.8533333333333,31.7991666666667,145.591666666667
"16","Gombe",20.8708333333333,27.5125,34.2066666666667,74.1025
"17","Imo",22.1191666666667,26.5958333333333,31.13,184.1025
"18","Jigawa",20.7416666666667,27.7583333333333,34.8266666666667,59.5741666666667
"19","Kaduna",19.8475,25.8516666666667,31.9075,98.4
"20","Kano",19.9633333333333,26.735,33.5516666666667,72.5341666666667
"21","Katsina",20.1408333333333,26.9683333333333,33.8425,67.1316666666667
"22","Kebbi",22.6775,28.9466666666667,35.265,76.2433333333333
"23","Kogi",22.1591666666667,27.28,32.4516666666667,111.86
"24","Kwara",21.8525,27.4883333333333,33.1766666666667,98.2316666666667
"25","Lagos",23.4591666666667,27.3991666666667,31.3908333333333,135.805833333333
"26","Nassarawa",21.515,26.9908333333333,32.5208333333333,98.3208333333333
"27","Niger",22.1633333333333,28.0241666666667,33.9333333333333,94.8108333333333
"28","Ogun",23.245,27.5408333333333,31.8883333333333,119.8225
"29","Ondo",22.6383333333333,27.025,31.46,144.1
"30","Osun",21.9575,26.6533333333333,31.4016666666667,119.895833333333
"31","Oyo",21.9941666666667,27.1775,32.4091666666667,101.159166666667
"32","Plateau",20.1633333333333,25.9658333333333,31.815,93.5983333333333
"33","Rivers",21.77,25.9733333333333,30.2316666666667,200.905833333333
"34","Sokoto",22.5408333333333,29.0608333333333,35.6341666666667,58.3658333333333
"35","Taraba",20.5783333333333,26.3725,32.2175,110.0025
"36","Yobe",21.1816666666667,28.3483333333333,35.5658333333333,51.6191666666667
"37","Zamfara",21.0066666666667,27.6433333333333,34.33,76.8033333333333
